,rmse,mae,r2
Linear Regression,1.2806841639440594,0.9731824450636211,0.9594108076769875
Random Forest,2.4175274848704817,1.894494791666676,0.855366408281861
Gradient Boosting,2.2263093180598417,1.71103932764181,0.8773415877255349
XGBoost,2.23807527336558,1.769575621287028,0.8760416722155766
ARIMA,6.296522999925735,4.737009657376454,-0.02743724546824189
