Metric,Linear Regression,Random Forest,Gradient Boosting,XGBoost,ARIMA
RMSE,1.2806841639440578,2.4175274848704817,2.2263093180598417,2.23807527336558,6.29652299964405
MAE,0.9731824450636188,1.894494791666676,1.71103932764181,1.769575621287028,4.7370096579477385
R²,0.9594108076769876,0.855366408281861,0.8773415877255349,0.8760416722155766,-0.0274372453763138
Mean Error,0.06762083333333495,,,,
Median Error,0.029200000000003,,,,
Std Dev of Error,1.3337345218293266,,,,
Mean Percentage Error,0.05544432699425175,,,,
